x,Contralateral,Ipsilateral
-97.653,0.2732,0.2026
-96.134,0.2161,0.1792
-93.948,0.139,0.1461
-91.988,0.1086,0.1176
-91.334,0.1036,0.1086
-87.202,0.0816,0.0639
-86.764,0.08,0.0606
-84.161,0.0807,0.0463
-80.689,0.1076,0.0434
-80.243,0.1149,0.0449
-78.742,0.1487,0.0538
-75.488,0.1756,0.0885
-74.605,0.178,0.0989
-71.577,0.1745,0.1222
-69.182,0.1461,0.1194
-68.96,0.1433,0.1182
-65.265,0.1102,0.0874
-61.561,0.0846,0.0536
-59.392,0.0738,0.0461
-56.564,0.071,0.0522
-55.264,0.0727,0.0534
-51.354,0.0716,0.0513
-50.263,0.0713,0.0505
-47.443,0.0705,0.0493
-44.836,0.0698,0.0489
-44.18,0.0716,0.0488
-40.71,0.0826,0.0484
-37.019,0.0954,0.0531
-36.794,0.0975,0.0537
-33.116,0.1361,0.0668
-29.855,0.1213,0.0728
-29.628,0.1197,0.0725
-25.505,0.0992,0.0464
-23.536,0.0911,0.0222
-21.809,0.0843,-0.0025
-18.309,0.0709,-0.0488
-17.896,0.0693,-0.0527
-13.33,0.0472,-0.0654
-12.875,0.0442,-0.0642
-9.197,0.0182,-0.0464
-5.93,0.0013,-0.0244
-4.63,-0.0039,-0.015
0.146,-0.0191,0.0156
0.152,-0.0191,0.0156
4.934,-0.0344,0.0273
7.314,-0.0463,0.0206
9.719,-0.0635,0.0036
14.507,-0.1066,-0.0292
14.927,-0.1094,-0.0302
20.156,-0.1081,-0.0095
22.524,-0.0578,0.0094
24.698,0.0019,0.0252
29.903,0.1009,0.0491
30.111,0.1046,0.0496
32.277,0.1388,0.0528
36.622,0.1376,0.0506
38.377,0.1224,0.0467
40.758,0.0947,0.039
45.109,0.0588,0.0195
47.074,0.033,0.0095
48.159,0.0162,0.004
51.643,-0.0265,-0.0122
54.473,-0.062,-0.0199
55.552,-0.0917,-0.0206
57.089,-0.1114,-0.019
62.934,-0.1261,0.0051
64.696,-0.1274,0.0122
69.016,-0.13,0.0104
71.649,-0.1294,-0.0095
74.908,-0.1303,-0.0535
75.33,-0.1355,-0.0609
78.394,-0.1868,-0.1261
80.784,-0.2187,-0.1875
84.057,-0.2649,-0.2625
85.799,-0.2978,-0.2862
88.853,-0.3566,-0.3131
94.066,-0.4135,-0.3511
94.078,-0.4137,-0.3512
99.085,-0.4707,-0.4
100.16,-0.4732,-0.4084
103.86,-0.4442,-0.4151
105.589,-0.4112,-0.396
107.754,-0.3549,-0.2932
108.388,-0.3365,-0.2577
110.991,-0.2376,-0.1569
112.487,-0.1271,-0.099
112.92,-0.0921,-0.0787
114.639,0.0117,0.0247
115.496,0.0744,0.0809
116.569,0.1502,0.1454
118.934,0.2896,0.2886
119.578,0.3301,0.3352
121.5,0.4985,0.5103
121.715,0.5242,0.5317
123.411,0.7531,0.6936
124.476,0.871,0.7834
124.706,0.8938,0.8014
125.97,1.0166,0.894
127.681,1.1691,1.0178
128.564,1.2534,1.0923
129.176,1.3077,1.1605
130.472,1.4066,1.349
131.105,1.4531,1.4168
132.604,1.5709,1.5284
133.904,1.6489,1.5914
134.542,1.6677,1.6139
138.231,1.6875,1.6678
139.757,1.6638,1.6593
141.284,1.6241,1.6353
143.907,1.54,1.5634
145.874,1.412,1.4769
146.106,1.3934,1.4629
147.656,1.233,1.2861
147.872,1.1788,1.2399
148.34,1.059,1.1525
149.437,0.9414,0.9962
150.111,0.8778,0.9209
151.435,0.7157,0.7662
151.667,0.6827,0.7327
153.227,0.4399,0.4668
153.232,0.4389,0.4659
154.364,0.1884,0.2751
154.574,0.1409,0.23
155.71,-0.1016,-0.0414
155.721,-0.104,-0.0433
157.308,-0.466,-0.2543
157.94,-0.6501,-0.3549
158.676,-0.8209,-0.5377
159.532,-0.9615,-0.7447
161.134,-1.19,-0.9584
161.98,-1.3201,-1.0651
162.926,-1.4895,-1.2533
163.333,-1.5668,-1.3366
165.119,-1.8461,-1.6013
165.165,-1.8516,-1.61
166.695,-2.0131,-1.9007
168.268,-2.1862,-2.0274
169.777,-2.47,-2.124
169.842,-2.4786,-2.1285
172.421,-2.6709,-2.3264
172.704,-2.688,-2.3444
176.002,-2.9044,-2.5227
176.809,-2.9599,-2.564
179.298,-3.1069,-2.6889
182.067,-3.2109,-2.8018
183.234,-3.2471,-2.8368
187.376,-3.3247,-2.9045
188.387,-3.3221,-2.9078
193.225,-3.229,-2.85
194.236,-3.1914,-2.8191
197.457,-3.0181,-2.6114
198.174,-2.9662,-2.5477
200.881,-2.716,-2.3273
201.165,-2.6889,-2.3071
203.946,-2.4533,-2.11
204.525,-2.4014,-2.0572
206.862,-2.1767,-1.7659
207.149,-2.1483,-1.741
210.136,-1.8502,-1.5369
211.153,-1.746,-1.4681
212.698,-1.6006,-1.3372
213.929,-1.5019,-1.2047
216.34,-1.3235,-0.978
217.136,-1.2651,-0.9205
221.27,-0.9564,-0.6601
221.86,-0.9113,-0.616
224.415,-0.6949,-0.3316
224.907,-0.6446,-0.2848
227.626,-0.3464,-0.0683
228.104,-0.3048,-0.0268
230.407,-0.15,0.1673
232.83,-0.0142,0.3059
234.276,0.0678,0.3956
237.704,0.2376,0.6588
237.996,0.2486,0.6741
243.753,0.3619,0.8449
244.058,0.3651,0.8506
251.44,0.3908,0.9527
251.554,0.3897,0.9539
256.68,0.2504,1.0118
258.274,0.1988,1.0355
261.923,0.089,1.1053
264.986,-0.0096,1.1657
267.167,-0.0724,1.2037
272.562,-0.1894,1.3166
273.056,-0.1991,1.3304
277.41,-0.249,1.4775
279.901,-0.2394,1.5787
284.209,-0.1938,1.7791
285.435,-0.1748,1.832
291.326,-0.0502,2.0691
293.873,0.0176,2.1647
296.893,0.1349,2.261
296.939,0.1377,2.2623
299.256,0.2803,2.3151
301.696,0.4238,2.3861
302.266,0.4532,2.4065
305.708,0.64,2.5435
307.621,0.8689,2.6232
309.244,1.0262,2.6899
309.972,1.0837,2.7188
313.403,1.3331,2.8401
315.507,1.4727,2.8967
316.837,1.5615,2.9258
320.266,1.8178,2.9962
321.782,1.9457,3.034
323.909,2.0949,3.1037
327.396,2.2906,3.2271
330.362,2.4476,3.307
334.013,2.683,3.3901
334.1,2.6909,3.3921
337.437,2.9671,3.4665
339.728,3.084,3.5087
343.04,3.2158,3.5527
346.231,3.3314,3.5903
347.356,3.3745,3.6049
351.451,3.5541,3.6674
352.513,3.6032,3.6859
355.108,3.7547,3.7345
356.16,3.9421,3.7557
358.948,4.143,3.8179
359.439,4.1751,3.83
362.169,4.3507,3.9038
365.49,4.5233,4.0091
366.043,4.5512,4.0284
369.802,4.759,4.1886
369.914,4.7656,4.1943
374.207,5.0495,4.4332
374.748,5.096,4.4653
376.773,5.2782,4.5887
379.044,5.4127,4.7353
380.427,5.4927,4.8323
381.829,5.6048,4.95
382.569,5.6589,5.0337
383.528,5.7168,5.1651
385.218,5.8086,5.4288
385.838,5.8409,5.6024
386.871,5.8941,5.6753
389.058,6.014,5.817
390.309,6.1017,5.9475
391.185,6.1727,6.0667
393.74,6.3876,6.3511
394.162,6.4205,6.3959
396.304,6.555,6.5867
397.386,6.6073,6.6527
399.959,6.7248,6.7943
401.049,6.7731,6.8632
403.176,6.8598,7.0228
405.583,6.9318,7.2052
406.608,6.9554,7.2652
411.782,7.0541,7.4862
412.943,7.0757,7.5345
416.309,7.1417,7.6796
420.088,7.2128,7.8243
421.488,7.2345,7.8728
425.937,7.3015,8.0122
428.837,7.3603,8.0794
433.08,7.4455,8.0981
434.483,7.4695,8.0917
441.218,7.5619,8.0898
441.748,7.5683,8.0901
447.954,7.6346,8.088
450.422,7.6562,8.0846
454.04,7.6838,8.0724
460.186,7.7231,8.0408
462.52,7.7351,8.0283
467.087,7.7354,8.0062
467.136,7.735,8.0059
472.15,7.6433,7.9753
472.959,7.6204,7.9698
476.084,7.517,7.944
478.183,7.435,7.9197
478.927,7.412,7.9097
483.509,7.3064,7.8403
484.718,7.282,7.8205
487.648,7.2427,7.7714
491.255,7.2165,7.7144
495.478,7.1919,7.6542
497.574,7.1801,7.6154
502.38,7.1541,7.468
505.047,7.1405,7.4001
509.359,7.1205,7.3201
513.961,7.1033,7.3053
514.142,7.1028,7.3049
519.802,7.0818,7.2407
520.919,7.0736,7.212
523.517,7.0487,7.1215
529.19,6.9878,7.0169
529.402,6.9858,7.0156
535.717,6.9374,7.0127
537.008,6.9262,7.0065
542.685,6.852,6.9099
543.984,6.8254,6.8725
548.579,6.6974,6.6836
548.581,6.6973,6.6835
554.046,6.5013,6.4508
554.493,6.4816,6.4316
558.213,6.3167,6.2846
559.519,6.2703,6.2456
565.637,6.1165,6.0809
566.503,6.0946,6.0587
572.403,5.9122,5.9094
573.931,5.8699,5.87
579.171,5.7296,5.7226
579.172,5.7295,5.7226
583.324,5.5911,5.5894
584.634,5.5542,5.5464
587.258,5.4963,5.4631
590.97,5.4371,5.3578
592.48,5.42,5.3199
593.809,5.4089,5.2806
596.873,5.3971,5.1546
599.436,5.3972,5.0466
